Atleta,País,Fase,Tentativa,Distância,Vento
Miltiadis TENTOGLOU,GRE,Qualificação,1,8.32,-0.6
Mattia FURLANI,ITA,Qualificação,1,8.01,0.1
Jacob FINCHAM-DUKES,GBR,Qualificação,1,0,-0.9
Carey MCLEOD,JAM,Qualificação,1,7.77,-1.2
Simon BATZ,GER,Qualificação,1,0,-1.3
Emiliano LASA,URU,Qualificação,1,7.87,-0.7
Bozhidar SARÂBOYUKOV,BUL,Qualificação,1,0,-1.2
Jeremiah DAVIS,USA,Qualificação,1,7.83,-0.9
Yuki HASHIOKA,JPN,Qualificação,1,0,-0.4
Anvar ANVAROV,UZB,Qualificação,1,7.57,-0.8
Jovan VAN VUUREN,RSA,Qualificação,1,7.7,-0.5
Yuhao SHI,CHN,Qualificação,1,7.68,-0.6
Alejandro PARADA,CUB,Qualificação,1,7.62,0.5
Liam ADCOCK,AUS,Qualificação,1,7.41,-0.3
Mohammad Amin ALSALAMI,EOR,Qualificação,1,7.03,-1.1
Petr MEINDLSCHMID,CZE,Qualificação,1,6.97,-1
Lucas Marcelino DOS SANTOS,BRA,Qualificação,1,0,-1
Radek JUŠKA,CZE,Qualificação,1,7.85,0
Jianan WANG,CHN,Qualificação,1,8.12,0.5
Simon EHAMMER,SUI,Qualificação,1,7.69,0.2
Filip PRAVDICA,CRO,Qualificação,1,7.68,0.7
Wayne PINNOCK,JAM,Qualificação,1,7.96,1.6
Mingkun ZHANG,CHN,Qualificação,1,7.91,1.5
Arnovis DALMERO,COL,Qualificação,1,7.92,1.3
Thobias MONTLER,SWE,Qualificação,1,0,1.2
Christopher MITREVSKI,AUS,Qualificação,1,7.66,0.8
Tajay GAYLE,JAM,Qualificação,1,7.78,-1.3
Malcolm CLEMONS,USA,Qualificação,1,7.72,1.5
Yu-Tang LIN,TPE,Qualificação,1,7.7,-0.6
Jeswin ALDRIN,IND,Qualificação,1,0,0.4
Tom CAMPAGNE,FRA,Qualificação,1,7.5,-0.8
Cheswill JOHNSON,RSA,Qualificação,1,0,2.8
Jarrion LAWSON,USA,Qualificação,1,0,0.3
Miltiadis TENTOGLOU,GRE,Final,1,8.27,-0.5
Wayne PINNOCK,JAM,Final,1,7.84,-1.1
Mattia FURLANI,ITA,Final,1,8.34,-1
Simon EHAMMER,SUI,Final,1,0,-0.6
Jacob FINCHAM-DUKES,GBR,Final,1,7.95,1
Simon BATZ,GER,Final,1,7.58,-0.2
Mingkun ZHANG,CHN,Final,1,7.81,-0.5
Jianan WANG,CHN,Final,1,7.96,-0.1
Filip PRAVDICA,CRO,Final,1,7.72,-0.6
Radek JUŠKA,CZE,Final,1,7.78,-1.3
Arnovis DALMERO,COL,Final,1,0,-0.1
Carey MCLEOD,JAM,Final,1,7.51,-0.5
Mattia FURLANI,ITA,Qualificação,2,7.95,-1.6
Jacob FINCHAM-DUKES,GBR,Qualificação,2,7.38,-0.9
Carey MCLEOD,JAM,Qualificação,2,7.9,-0.2
Simon BATZ,GER,Qualificação,2,7.9,0.3
Emiliano LASA,URU,Qualificação,2,7.58,-0.8
Bozhidar SARÂBOYUKOV,BUL,Qualificação,2,0,-1
Jeremiah DAVIS,USA,Qualificação,2,7.78,-0.6
Yuki HASHIOKA,JPN,Qualificação,2,7.72,-1.2
Anvar ANVAROV,UZB,Qualificação,2,7.77,-0.7
Jovan VAN VUUREN,RSA,Qualificação,2,0,-1.2
Yuhao SHI,CHN,Qualificação,2,7.3,-0.9
Alejandro PARADA,CUB,Qualificação,2,7.02,-1
Liam ADCOCK,AUS,Qualificação,2,7.56,-0.5
Mohammad Amin ALSALAMI,EOR,Qualificação,2,7.24,-0.4
Petr MEINDLSCHMID,CZE,Qualificação,2,0,0
Lucas Marcelino DOS SANTOS,BRA,Qualificação,2,0,0.3
Radek JUŠKA,CZE,Qualificação,2,8.15,0.7
Simon EHAMMER,SUI,Qualificação,2,8.09,-0.3
Filip PRAVDICA,CRO,Qualificação,2,8.04,1
Wayne PINNOCK,JAM,Qualificação,2,7.72,0.6
Mingkun ZHANG,CHN,Qualificação,2,7.88,1.1
Arnovis DALMERO,COL,Qualificação,2,7.83,0.7
Thobias MONTLER,SWE,Qualificação,2,0,0.5
Christopher MITREVSKI,AUS,Qualificação,2,7.79,0.3
Tajay GAYLE,JAM,Qualificação,2,7.68,-0.2
Malcolm CLEMONS,USA,Qualificação,2,7.46,-0.6
Yu-Tang LIN,TPE,Qualificação,2,0,0.4
Jeswin ALDRIN,IND,Qualificação,2,0,0.2
Tom CAMPAGNE,FRA,Qualificação,2,0,1.5
Cheswill JOHNSON,RSA,Qualificação,2,4.49,-0.6
Jarrion LAWSON,USA,Qualificação,2,0,1.7
Miltiadis TENTOGLOU,GRE,Final,2,8.48,0
Wayne PINNOCK,JAM,Final,2,8.36,-0.2
Mattia FURLANI,ITA,Final,2,8.25,0.9
Simon EHAMMER,SUI,Final,2,8.2,-0.9
Jacob FINCHAM-DUKES,GBR,Final,2,8.14,-1.4
Simon BATZ,GER,Final,2,8.07,0.1
Mingkun ZHANG,CHN,Final,2,0,0.3
Jianan WANG,CHN,Final,2,0,0
Filip PRAVDICA,CRO,Final,2,7.9,0.8
Radek JUŠKA,CZE,Final,2,7.69,0.2
Arnovis DALMERO,COL,Final,2,7.83,0.2
Carey MCLEOD,JAM,Final,2,7.16,-1.6
Mattia FURLANI,ITA,Qualificação,3,0,0.3
Jacob FINCHAM-DUKES,GBR,Qualificação,3,7.96,-0.1
Carey MCLEOD,JAM,Qualificação,3,0,-0.1
Simon BATZ,GER,Qualificação,3,7.6,-0.7
Emiliano LASA,URU,Qualificação,3,7.7,-1.2
Bozhidar SARÂBOYUKOV,BUL,Qualificação,3,7.87,1.2
Jeremiah DAVIS,USA,Qualificação,3,7.87,-0.7
Yuki HASHIOKA,JPN,Qualificação,3,7.81,0
Anvar ANVAROV,UZB,Qualificação,3,7.77,-0.4
Jovan VAN VUUREN,RSA,Qualificação,3,7.41,-0.5
Yuhao SHI,CHN,Qualificação,3,7.68,-0.4
Alejandro PARADA,CUB,Qualificação,3,0,-1
Liam ADCOCK,AUS,Qualificação,3,7.29,-0.8
Mohammad Amin ALSALAMI,EOR,Qualificação,3,7.24,-1
Petr MEINDLSCHMID,CZE,Qualificação,3,0,-0.1
Lucas Marcelino DOS SANTOS,BRA,Qualificação,3,0,-0.7
Jianan WANG,CHN,Qualificação,3,0,0
Simon EHAMMER,SUI,Qualificação,3,6.62,-2.9
Filip PRAVDICA,CRO,Qualificação,3,7.59,-0.7
Wayne PINNOCK,JAM,Qualificação,3,7.68,-2.4
Mingkun ZHANG,CHN,Qualificação,3,7.92,0
Arnovis DALMERO,COL,Qualificação,3,7.78,2.2
Thobias MONTLER,SWE,Qualificação,3,7.82,0.3
Christopher MITREVSKI,AUS,Qualificação,3,6.47,-1.6
Tajay GAYLE,JAM,Qualificação,3,7.63,0.7
Malcolm CLEMONS,USA,Qualificação,3,7.72,-0.1
Yu-Tang LIN,TPE,Qualificação,3,7.66,0.1
Jeswin ALDRIN,IND,Qualificação,3,7.61,-0.1
Tom CAMPAGNE,FRA,Qualificação,3,7.51,0.3
Cheswill JOHNSON,RSA,Qualificação,3,0,-1.8
Jarrion LAWSON,USA,Qualificação,3,0,0.3
Miltiadis TENTOGLOU,GRE,Final,3,8.24,-0.4
Wayne PINNOCK,JAM,Final,3,7.99,0
Mattia FURLANI,ITA,Final,3,0,-0.5
Simon EHAMMER,SUI,Final,3,8.11,1.2
Jacob FINCHAM-DUKES,GBR,Final,3,0,-0.5
Simon BATZ,GER,Final,3,7.79,0.2
Mingkun ZHANG,CHN,Final,3,8.07,0.6
Jianan WANG,CHN,Final,3,7.92,-0.2
Filip PRAVDICA,CRO,Final,3,7.87,0.9
Radek JUŠKA,CZE,Final,3,7.83,-0.6
Arnovis DALMERO,COL,Final,3,7.74,-1.3
Carey MCLEOD,JAM,Final,3,7.82,-1.8
Miltiadis TENTOGLOU,GRE,Final,4,8.36,-0.6
Wayne PINNOCK,JAM,Final,4,8.05,0.8
Mattia FURLANI,ITA,Final,4,0,0.1
Simon EHAMMER,SUI,Final,4,7.92,0.7
Jacob FINCHAM-DUKES,GBR,Final,4,0,-0.9
Simon BATZ,GER,Final,4,7.71,0.8
Mingkun ZHANG,CHN,Final,4,0,-0.9
Jianan WANG,CHN,Final,4,0,0
Miltiadis TENTOGLOU,GRE,Final,5,8.31,0.4
Wayne PINNOCK,JAM,Final,5,8.24,0.9
Mattia FURLANI,ITA,Final,5,8.34,0.8
Simon EHAMMER,SUI,Final,5,0,1.7
Jacob FINCHAM-DUKES,GBR,Final,5,0,-0.2
Simon BATZ,GER,Final,5,7.95,0.2
Mingkun ZHANG,CHN,Final,5,7.93,0.6
Miltiadis TENTOGLOU,GRE,Final,6,0,0.2
Wayne PINNOCK,JAM,Final,6,8.12,-0.7
Mattia FURLANI,ITA,Final,6,8.27,0.7
Simon EHAMMER,SUI,Final,6,0,-0.7
Jacob FINCHAM-DUKES,GBR,Final,6,7.64,0.3
Simon BATZ,GER,Final,6,7.94,-0.7
Mingkun ZHANG,CHN,Final,6,0,-0.3
Jianan WANG,CHN,Final,6,8.03,0.3