Ano,AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO
1980,25,283,138,7,306,441,144,305,453,109,1159,226,35,303,299,1120,52,818,2946,169,119,11,632,243,82,3452,
1981,27,389,136,16,311,496,177,354,550,139,1089,257,76,339,343,1407,79,925,2508,171,129,16,650,269,99,4187,
1982,41,430,156,24,494,493,214,359,542,139,1099,270,62,365,323,1511,120,1078,2170,196,124,28,685,266,118,4183,
1983,32,558,152,24,372,609,188,368,545,155,1013,313,142,467,360,1645,136,1141,1861,173,143,19,658,320,102,5836,
1984,36,543,210,26,507,590,171,405,491,184,1129,344,189,520,382,1862,100,1059,2463,133,213,17,679,293,62,7063,
1985,51,518,183,33,538,544,260,456,467,163,1015,251,270,506,381,2003,79,920,2550,129,319,12,673,262,67,7015,
1986,62,563,158,31,536,522,264,486,499,251,1030,289,356,588,470,2047,107,919,2441,103,376,12,766,237,78,7195,
1987,97,535,184,23,665,430,350,535,571,285,1019,317,376,546,369,2197,83,928,3785,151,437,7,821,265,65,7918,
1988,76,724,227,21,823,506,334,679,705,336,1012,319,370,591,399,2239,144,993,3054,198,430,69,1091,321,63,7502,
1989,95,813,323,38,1074,607,362,846,794,400,1197,369,468,675,454,2543,147,1106,4287,234,494,110,1558,349,132,9180,64
1990,64,720,367,45,854,554,485,898,662,439,1156,353,407,742,433,2746,113,1177,7095,203,549,125,1678,375,147,9496,53
1991,105,675,401,52,581,615,533,974,811,455,1211,391,450,812,398,2754,111,1226,5039,221,491,78,1685,355,322,9671,93
1992,106,592,349,73,825,544,465,839,781,415,1103,423,356,762,341,2533,95,1091,4516,198,398,94,1560,347,463,9022,67
1993,114,619,345,65,1498,703,604,1102,697,395,1199,459,358,624,357,2744,121,1238,5362,244,489,72,1168,358,313,9219,93
1994,88,616,382,122,1737,630,610,1162,735,309,1095,512,317,716,388,2566,103,1265,6414,209,397,78,1331,337,338,9990,106
1995,103,731,424,125,1524,845,687,1158,731,381,1186,626,599,695,446,2699,121,1388,8183,249,327,88,1430,404,250,11566,75
1996,102,740,448,164,1866,881,698,1199,705,349,1225,727,654,688,626,3013,125,1373,8049,237,300,107,1466,404,233,12350,128
1997,100,642,466,137,1970,1021,668,1426,689,319,1307,734,759,746,491,3693,153,1586,7966,236,354,90,1633,415,188,12552,121
1998,109,585,536,163,1247,941,720,1690,624,266,1470,667,845,769,419,4423,141,1633,7569,223,489,132,1514,399,174,14001,134
1999,51,552,527,193,886,1108,723,1543,800,250,1546,572,825,637,404,4200,131,1698,7249,226,434,154,1523,381,338,15810,148
2000,108,724,559,155,1223,1229,770,1449,1008,344,2052,644,996,806,519,4262,234,1766,7337,251,466,128,1662,423,416,15631,178
2001,122,836,478,184,1573,1298,773,1472,1087,536,2343,619,986,955,490,4685,279,2039,7352,316,565,107,1848,458,532,15745,221
2002,151,989,512,181,1735,1443,744,1639,1275,576,2977,694,963,1186,608,4431,315,2226,8321,301,606,121,1904,572,549,14494,180
2003,137,1043,558,188,2146,1572,742,1629,1344,798,3860,680,890,1405,606,4446,307,2545,7460,412,556,106,1923,676,471,13443,209
2004,114,1039,527,172,2243,1546,696,1620,1534,734,4262,640,844,1517,662,4102,338,2827,7163,351,561,85,1993,656,451,10880,202
2005,123,1203,600,197,2830,1701,657,1604,1480,938,4216,617,885,1924,747,4256,371,2984,7021,411,553,98,2043,642,486,8499,192
2006,157,1621,698,203,3256,1794,660,1759,1507,968,4157,684,892,2057,814,4423,419,3077,6802,464,582,110,1999,674,590,8255,235
2007,137,1828,714,174,3582,1933,711,1867,1504,1128,4114,710,885,2177,864,4466,380,3074,6029,600,431,116,2211,641,523,6351,228
2008,133,1889,831,210,4651,2024,812,1930,1776,1276,3862,698,929,2838,1030,4351,362,3373,5181,729,468,103,2397,813,554,6238,248
2009,153,1876,917,190,5279,2165,882,1970,1873,1399,3714,725,990,2973,1257,3896,390,3629,4929,806,527,118,2257,825,648,6401,290
2010,165,2087,1082,260,5677,2687,786,1787,1942,1514,3606,655,958,3497,1448,3419,405,3501,5200,809,534,121,2084,821,666,5902,324
2011,164,2243,1291,209,5389,2791,902,1671,2231,1586,4211,673,998,3050,1608,3389,438,3282,4410,1053,442,94,2076,810,713,5703,358
2012,207,2046,1344,252,5964,3840,954,1660,2750,1769,4487,682,1064,3220,1507,3245,523,3395,4364,1124,518,144,2382,819,857,6404,369
2013,234,2148,1189,225,5537,4472,837,1617,2888,2145,4648,621,1149,3377,1529,3067,596,2861,4737,1447,476,214,2322,789,945,5892,345
2014,232,2085,1232,256,5881,4626,843,1609,2815,2446,4664,700,1353,3432,1529,3298,712,2932,5296,1602,572,158,2724,904,1081,6036,373
2015,217,1747,1472,293,5902,4162,742,1448,2938,2424,4489,634,1198,3668,1511,3776,646,2899,4784,1545,592,203,2944,954,1293,5305,492
2016,363,1820,1447,381,7061,3642,760,1266,2968,2381,4573,670,1175,4209,1342,4352,698,3035,5659,1854,689,204,3225,981,1454,4755,566
2017,516,1812,1671,383,7374,5432,610,1521,2843,2159,4256,658,1098,4552,1341,5320,622,2736,5976,2203,550,248,3316,1061,1309,4541,552
2018,408,1441,1540,426,6675,4900,530,1164,2635,1970,3325,571,985,4497,1240,4125,606,2409,6056,1824,470,414,2699,842,1133,3646,562
2019,318,1115,1590,361,6012,2417,480,1038,2219,1696,2878,491,894,3355,940,3394,557,2063,3417,1345,445,234,2184,765,972,3300,448
2020,295,1292,1321,387,6962,3992,453,1212,2148,2088,2725,490,983,2780,1130,3699,657,2265,4587,1406,448,237,2094,729,980,3317,481
2021,204,1070,1804,462,7094,3471,401,1206,1786,1993,2555,551,884,2815,1135,3368,749,2332,4582,1179,530,258,1888,709,789,3031,441
2022,230,1136,1752,358,6680,3029,357,1124,1650,1936,2674,550,1075,2863,1097,3336,783,2561,3660,1163,595,231,1960,664,770,3132,453
