Title,Date
"Meu Amigo Totoro","23/07/2024"
"Peppa Pig: Temporada 5: A Cidade da Batata / A casa nova/ Basquete / Cavalo rodas brilhantes","30/06/2024"
"Peppa Pig: Temporada 4: O computador do Vovô Pig / O farol do Avô Coelho","29/06/2024"
"Ponyo - Uma Amizade que Veio do Mar","22/06/2024"
"O Serviço de Entregas da Kiki","17/06/2024"
"Star Trek: Prodigy: Temporada 1: Apanhador de sonhos","17/06/2024"
"Peppa Pig: Temporada 4: O aniversário de Edmond Elefante / A maior poça de lama do mundo / A cabana do Papai Noel / A visita do Papai Noel","11/06/2024"
"Peppa Pig: Temporada 6: O tesouro pirata / Avô Coelho no espaço / O circo da Peppa / O lago dos peixes","11/06/2024"
"Peppa Pig: Temporada 6: Os dias antigos / A Montanha Nevada","10/06/2024"
"Aggretsuko: Temporada 5: O outro lado da raiva","09/06/2024"
"Aggretsuko: Temporada 5: Mundo desconectado","09/06/2024"
"Aggretsuko: Temporada 5: Encarando o desafio","09/06/2024"
"Aggretsuko: Temporada 5: Missão fúria","09/06/2024"
"Aggretsuko: Temporada 5: Uma emergência familiar","09/06/2024"
"Aggretsuko: Temporada 5: Mensageiro misterioso","09/06/2024"
"Octonautas: Missão Planeta: Temporada 2: Os Octonautas e a raposa-vermelha / Os Octonautas e as preguiças-anãs","08/06/2024"
"Octonautas: Missão Planeta: Temporada 2: Os Octonautas e o sapo solitário / Os Octonautas e o fantasma da selva","08/06/2024"
"Peppa Pig: Temporada 1: Poças de lama/ Onde está o Senhor Dinossauro?/ Melhor amiga/ Polly Papagaio","07/06/2024"
"Octonautas: Missão Planeta: Temporada 2: Os Octonautas e a onda de frio / Os Octonautas e o mistério das enguias","07/06/2024"
"Octonautas: Missão Planeta: Temporada 2: Os Octonautas e o texugo-do-mel / Os Octonautas e a geleira rosa","07/06/2024"
"Octonautas: Missão Planeta: Temporada 2: Os Octonautas e o hotel na árvore / Os Octonautas e o albatroz teimoso","07/06/2024"
"Octonautas e o Círculo de Fogo","07/06/2024"
"Octonautas e a Grande Barreira de Corais","07/06/2024"
"Aggretsuko: Temporada 5: Recomeço","04/06/2024"
"Aggretsuko: Temporada 5: ANAGURA e a realidade","04/06/2024"
"Aggretsuko: Temporada 5: Shikabane assustadora","04/06/2024"
"Aggretsuko: Temporada 5: Uma prisão chamada liberdade","04/06/2024"
"Crescidinhos: Temporada 2: Episódio 2","04/06/2024"
"Princesa Mononoke","04/06/2024"
"Suzume","04/06/2024"
"Nausicaä do Vale do Vento","04/06/2024"
"Meus Vizinhos, Os Yamadas","04/06/2024"
"Peppa Pig: Temporada 6: Passeando de barco / O Sr. Touro na loja de porcelana / Fruta / O balão do George","03/06/2024"
"Peppa Pig: Temporada 6: O fim das férias / Espelhos / Pedro está atrasado / Jogos de jardim","03/06/2024"
"Peppa Pig: Temporada 6: Animais noturnos / Voando de férias / A casa de férias / Férias ao sol","03/06/2024"
"O Reino dos Gatos","03/06/2024"
"Peppa Pig: Temporada 6: O aquário / O carro de corrida do George / O barquinho / A caixa de areia","02/06/2024"
"Peppa Pig: Temporada 6: A rainha / A ilha deserta / O perfume / A festa das crianças","31/05/2024"
"Peppa Pig: Temporada 5: A loja do Sr. Raposo / O barrigão da Sra. Coelho","31/05/2024"
"Peppa Pig: Temporada 5: A noite barulhenta / O poço dos desejos / O show de Natal do Sr. Batata / A festa de despedida da Madame Gazela","31/05/2024"
"Peppa Pig: Temporada 5: O novo dinossauro do George / O trem do Vovô Pig para o resgate / Competição de animais de estimação / Teia de aranha","31/05/2024"
"Peppa Pig: Temporada 5: Capitão papai cão / O parque de dinossauro do Avô Coelho / História para dormir / A chave perdida","31/05/2024"
"Peppa Pig: Temporada 5: Pedro, o vaqueiro / O jardim da Peppa e do George / A veterinária voadora / Kylie canguru","31/05/2024"
"Peppa Pig: Temporada 4: Papai Pig campeão / A tagarela / A van do Sr. Raposo / Os amigos grandes da Chloé","30/05/2024"
"Morphle: Temporada 1: Pets Mágicos salvam o dia","30/05/2024"
"Morphle: Temporada 1: As aventuras épicas de Morphle e Orphle","30/05/2024"
"Peppa Pig: Temporada 4: A aula de ginástica / O arbusto de amora / A cerâmica / Aviões de papel","29/05/2024"
"The Post - A Guerra Secreta","29/05/2024"
"After Life - Vocês vão ter de me engolir: Temporada 1: Episódio 1","29/05/2024"
"Peppa Pig: Temporada 4: O dia de folga da Dona Coelha / O clube secreto / O estaleiro naval do Avô Coelho / Agito, chocalho e batida","29/05/2024"
"Peppa Pig: Temporada 4: O hospital / A primavera / O helicóptero da Dona Coelha / O bebê Alexander","29/05/2024"
"A Grande Entrevista","15/04/2024"
"Outra Vida: Temporada 1: Espaço sideral","06/04/2024"
"The Crown: Temporada 6: Sleep, Dearie, Sleep","06/04/2024"
"Thomas e seus amigos: Thomas Y Sus Amigos: Emily ao resgate","27/03/2024"
"Thomas e seus amigos: Thomas Y Sus Amigos: Thomas e as locomotivas da floresta","27/03/2024"
"The Crown: Temporada 6: Hope Street","25/03/2024"
"The Crown: Temporada 6: Ritz","25/03/2024"
"Thomas e seus amigos: Thomas Y Sus Amigos: O grande pequeno show ferroviário","25/03/2024"
"Thomas e seus amigos: Thomas Y Sus Amigos: O Amigo peludo de Thomas","24/03/2024"
"Thomas e seus amigos: Thomas Y Sus Amigos: O Melhor amigo de Emily","24/03/2024"
"The Crown: Temporada 6: Alma mater","24/03/2024"
"O Problema dos 3 Corpos: Temporada 1: Contagem regressiva","24/03/2024"
"O Problema dos 3 Corpos: Temporada 1: Barreira","23/03/2024"
"O Problema dos 3 Corpos: Temporada 1: Apenas avance","23/03/2024"
"O Problema dos 3 Corpos: Temporada 1: Estrelas, o Nosso Destino","23/03/2024"
"O Problema dos 3 Corpos: Temporada 1: Juízo Final","23/03/2024"
"O Problema dos 3 Corpos: Temporada 1: Nosso Senhor","23/03/2024"
"O Problema dos 3 Corpos: Temporada 1: Destruidor de Mundos","23/03/2024"
"O Problema dos 3 Corpos: Temporada 1: Costa Vermelha","23/03/2024"
"The Crown: Temporada 6: Ruritânia","23/03/2024"
"O Código Bill Gates: Minissérie: Parte 2","23/03/2024"
"The Crown: Temporada 6: Willmania","22/03/2024"
"The Netflix Slam","04/03/2024"
"The Crown: Temporada 6: Consequências","24/02/2024"
"Heróis fora de órbita","20/02/2024"
"The Crown: Temporada 6: Dis-Moi Oui","13/02/2024"
"The Crown: Temporada 6: Duas fotos","28/01/2024"
"The Crown: Temporada 6: Persona non grata","28/01/2024"
"Star Trek: Prodigy: Temporada 1: Loucura temporal","28/12/2023"
"Ben 10: Temporada 1: Washington A.C.","27/12/2023"
"Star Trek: Prodigy: Temporada 1: Achados e perdidos – Parte 2","27/12/2023"
"Star Trek: Prodigy: Temporada 1: Achados e perdidos – Parte 1","27/12/2023"
"Ben 10: Temporada 1: E então eram 10","24/12/2023"
"O Mundo Depois de Nós","10/12/2023"
"The Crown: Temporada 5: Fora de serviço","15/10/2023"
"The Crown: Temporada 5: Casal 31","15/10/2023"
"Cidade Perdida","15/10/2023"
"Jovem Sheldon: Temporada 1: Piloto","28/08/2023"
"Jornada nas estrelas: Temporada 1: E as meninas, de que são feitas?","07/08/2023"
"Jornada nas estrelas: Temporada 1: O ardil carbomite","07/08/2023"
"Jornada nas estrelas: Temporada 1: Corte marcial","26/06/2023"
"The Crown: Temporada 5: Pólvora","09/06/2023"
"The Crown: Temporada 5: Casa Ipatiev","09/06/2023"
"The Crown: Temporada 5: O que vem pela frente","14/05/2023"
"The Crown: Temporada 5: Nem uma coisa, nem outra","07/05/2023"
"The Crown: Temporada 5: Annus horribilis","02/05/2023"
"Jornada nas Estrelas: A nova geração: Temporada 4: O Melhor de Dois Mundos, Parte II","01/05/2023"
"Jornada nas Estrelas: A nova geração: Temporada 3: O Melhor de Dois Mundos, Parte I","01/05/2023"
"The Crown: Temporada 5: Mou Mou","16/04/2023"
"The Crown: Temporada 5: O sistema","16/04/2023"
"The Crown: Temporada 5: Síndrome da rainha Victória","16/04/2023"
"Jornada nas Estrelas: Deep Space Nine: Temporada 3: A busca, parte 2","04/04/2023"
"Jornada nas Estrelas: Deep Space Nine: Temporada 3: A busca, parte 1","04/04/2023"
"Jornada nas Estrelas: Deep Space Nine: Temporada 7: A face do mal","29/03/2023"
"Jornada nas Estrelas: Deep Space Nine: Temporada 7: Estranhos companheiros","29/03/2023"
"Jornada nas Estrelas: Deep Space Nine: Temporada 7: Até que a morte nos separe","23/03/2023"
"Jornada nas Estrelas: Deep Space Nine: Temporada 7: Ecos do passado","23/03/2023"
"Jornada nas Estrelas: Deep Space Nine: Temporada 7: Sombras e símbolos","23/03/2023"
"Jornada nas Estrelas: Deep Space Nine: Temporada 6: As lágrimas dos profetas","23/03/2023"
"Jornada nas Estrelas: Deep Space Nine: Temporada 6: O embate","21/03/2023"
"Jornada nas Estrelas: Deep Space Nine: Temporada 5: Missão","20/03/2023"
"Jornada nas Estrelas: A nova geração: Temporada 5: Alferes Ro","18/03/2023"
"Jornada nas Estrelas: A nova geração: Temporada 7: A Queda Parte II","18/03/2023"
"Jornada nas Estrelas: A nova geração: Temporada 6: Aquiel","14/03/2023"
"Jornada nas Estrelas: A nova geração: Temporada 6: Navio na Garrafa","14/03/2023"
"Molang: Temporada 4: The Wig","23/02/2023"
"Thomas e Seus Amigos: Trens a Todo Vapor: Temporada 2: Amigos Velozes","23/02/2023"
"Molang: Temporada 4: The Tourney","23/02/2023"
"Molang: Temporada 4: The New World","23/02/2023"
"Molang: Temporada 4: To The Shelter","15/02/2023"
"Caleidoscópio: Minissérie: Violeta (24 anos antes do roubo)","04/01/2023"
"Caleidoscópio: Minissérie: Preto","04/01/2023"
"Jornada nas estrelas: Temporada 1: A hora rubra","29/07/2022"
"Jornada nas estrelas: Temporada 1: O equilíbrio do terror","16/07/2022"
"Jornada nas estrelas: Temporada 1: Semente do espaço","15/07/2022"
"Jornada nas estrelas: Temporada 1: O primeiro comando","11/07/2022"
"Jornada nas estrelas: Temporada 1: A licença","11/07/2022"
"Vai, Cachorro. Vai!: Temporada 2: Esquia, cachorro, esquia!","09/07/2022"
"Jornada nas estrelas: Temporada 1: Arena","05/07/2022"
"Jornada nas estrelas: Temporada 2: Tempo de loucura","24/06/2022"
"Midnight Diner: Tokyo Stories: Temporada 1: Presunto empanado","20/06/2022"
"Pistas de Blue e Você: Temporada 1: Apresentando o Josh!","12/06/2022"
"Jornada nas estrelas: Temporada 2: O lamento por Adônis","09/06/2022"
"Patrulha Canina: Temporada 6: Super filhotes, patinhas poderosas: filhotes contra o Copygato","08/06/2022"
"Patrulha Canina: Temporada 6: Os filhotes salvam os esquilos / Os filhotes salvam um canguru","08/06/2022"
"Patrulha Canina: Temporada 6: Os filhotes salvam o lobo branco / Os filhotes salvam o explorador perdido","08/06/2022"
"Mercury 13 - O Espaço Delas","03/06/2022"
"Jornada nas estrelas: Temporada 1: Amanhã é ontem","03/06/2022"
"Jornada nas estrelas: Temporada 1: A coleção - Parte 1","31/05/2022"
"Patrulha Canina: Temporada 6: Super filhotes, patinhas poderosas: os filhotes e o grande truque dos gêmeos / Super filhotes, patinhas poderosas: os filhotes salvam o megaprefeito","31/05/2022"
"Patrulha Canina: Temporada 6: Os filhotes salvam os ursos / Os filhotes salvam a fazenda sem fazendeira","31/05/2022"
"Patrulha Canina: Temporada 6: Os filhotes salvam os balões dos filhotes / Os filhotes salvam os espiões de aranha","27/05/2022"
"Jornada nas estrelas: Temporada 1: Piloto: A jaula","06/05/2022"
"Jornada nas estrelas: Temporada 3: O sobrevivente","05/05/2022"
"Jornada nas estrelas: Temporada 1: A consciência do rei","02/05/2022"
"Jornada nas estrelas: Temporada 1: A coleção - Parte 2","02/05/2022"
"Jornada nas Estrelas: A nova geração: Temporada 1: Onde Ninguém Jamais Esteve","02/05/2022"
"Jornada nas estrelas: Temporada 1: O estranho Charlie","01/05/2022"
"Jornada nas estrelas: Temporada 1: O sal da terra","01/05/2022"
"Cobra Kai: Temporada 4: Primeiro aprenda a ficar em pé","29/04/2022"
"Cobra Kai: Temporada 4: Vamos lá!","29/04/2022"
"Patrulha Canina: Temporada 6: Super filhotes, patinhas poderosas: os filhotes salvam a galinha gigante / Super filhotes, patinhas poderosas: os filhotes detêm o congelamento de Harold","25/04/2022"
"Patrulha Canina: Temporada 6: Os filhotes salvam a família morcego / Os filhotes salvam o monstro de lama","25/04/2022"
"Patrulha Canina: Temporada 6: Os filhotes salvam o dia diferente / Os filhotes salvam o prefeito descontrolado","25/04/2022"
"À Espreita do Mal","22/04/2022"
"Patrulha Canina: Temporada 6: Super filhotes, patinhas poderosas: os filhotes conhecem os supergêmeos","12/04/2022"
"Patrulha Canina: Temporada 6: Os filhotes salvam os piratas terrestres / Os filhotes salvam os Rodovalhos observadores de pássaros","12/04/2022"
"Patrulha Canina: Temporada 6: Os filhotes salvam o peixe-boi / Os filhotes salvam o café da manhã","12/04/2022"
"Patrulha Canina: Temporada 6: Super filhotes, patinhas poderosas: quando os supergatinhos atacam","29/03/2022"
"Patrulha Canina: Temporada 6: Os filhotes salvam a hora da soneca / Os filhotes salvam o ovo da Galinheta","29/03/2022"
"Patrulha Canina: Temporada 6: Os filhotes salvam o violão do Gustavo / Os filhotes salvam as cabras da Yoga","29/03/2022"
"Patrulha Canina: Temporada 6: Os filhotes e o problema das bolhas fedorentas / Os filhotes salvam os bebês avestruzes","29/03/2022"
"Patrulha Canina: Temporada 6: Resgate extremo: os filhotes salvam os escaladores de montanhas / Resgate extremo: os filhotes salvam o capitão Gordy","29/03/2022"
"Patrulha Canina: Temporada 6: Os filhotes salvam o mel / Os filhotes salvam a bolsa da prefeita Goodway","29/03/2022"
"Jornada nas estrelas: Temporada 1: Deste lado do paraíso","28/03/2022"
"Jornada nas estrelas: Temporada 1: Um gosto de armagedon","28/03/2022"
"Jornada nas estrelas: Temporada 1: A cidade à beira da eternidade","28/03/2022"
"Jornada nas estrelas: Temporada 2: Missão: Terra","28/03/2022"
"Patrulha Canina: Temporada 6: Os filhotes salvam um festival do melão / Os filhotes salvam uma vaca","28/03/2022"
"Patrulha Canina: Temporada 6: Resgate extremo: os filhotes impedem um derretimento / Resgate extremo: os filhotes e o mistério dos celulares desaparecidos","26/03/2022"
"Patrulha Canina: Temporada 6: Os filhotes salvam os pinguins da selva / Os filhotes salvam um cargueiro","26/03/2022"
"Pega Ladrão!","28/02/2022"
"Dunkirk","28/02/2022"
"Aggretsuko: Temporada 4: Encontro","27/02/2022"
"Mighty Express: Temporada 5: Homenagem ao xerife / Dia de pizza","25/02/2022"
"Aggretsuko: Temporada 4: Acesso não autorizado","08/02/2022"
"Aggretsuko: Temporada 4: Recrutamento","02/02/2022"
"Aggretsuko: Temporada 4: Promoção","02/02/2022"
"Aggretsuko: Temporada 4: Luta pela sobrevivência","01/02/2022"
"Aggretsuko: Temporada 4: Opções","01/02/2022"
"Aggretsuko: Temporada 4: Promessas não cumpridas","31/01/2022"
"Aggretsuko: Temporada 4: Trabalho sujo","31/01/2022"
"Aggretsuko: Temporada 4: O chefe novo","30/01/2022"
"Aggretsuko: Temporada 3: Contarei até dez","29/01/2022"
"Aggretsuko: Temporada 4: Um colega","29/01/2022"
"Jornada nas Estrelas: Deep Space Nine: Temporada 6: Valiant","13/01/2022"
"Challenger: Voo Final: Minissérie: O espaço para todos","10/01/2022"
"Jornada nas Estrelas: A nova geração: Temporada 5: Darmok","18/10/2021"
"Vidas ao Vento","08/10/2021"
"Jornada nas Estrelas: A nova geração: Temporada 5: Esquecimento","04/10/2021"
"Star Trek: Voyager: Temporada 5: Noiva de Chaotica","19/07/2021"
"Elize Matsunaga: Era Uma Vez Um Crime: Temporada 1: Estado civil: viúva","19/07/2021"
"The Story of Diana: Temporada 1: Parte 1","22/05/2021"
"The Crown: Temporada 4: Guerra","15/05/2021"
"The Crown: Temporada 4: Avalanche","13/05/2021"
"The Crown: Temporada 4: Quarenta e oito contra um","12/05/2021"
"The Crown: Temporada 4: O princípio da hereditariedade","25/04/2021"
"Borgen: Temporada 1: Episódio 5","19/04/2021"
"The Crown: Temporada 4: Terra de ninguém","17/04/2021"
"The Crown: Temporada 4: Fagan","11/04/2021"
"Borgen: Temporada 1: Episódio 4","10/04/2021"
"The Crown: Temporada 4: Favoritos","05/04/2021"
"Borgen: Temporada 1: Episódio 3","03/04/2021"
"The Crown: Temporada 4: Conto de fadas","27/03/2021"
"Dança dos Pássaros","22/03/2021"
"The Crown: Temporada 4: O teste de Balmoral","21/03/2021"
"Borgen: Temporada 1: Episódio 2","20/03/2021"
"Borgen: Temporada 1: Episódio 1","13/03/2021"
"The Crown: Temporada 4: Guarda-costas","06/03/2021"
"A Guerra dos Samurais: Minissérie: A ascensão de Nobunaga","03/03/2021"
"Professor Polvo","28/02/2021"
"Star Trek: Discovery: Temporada 3: Minha Esperança é Você, Parte 2","24/01/2021"
"Star Trek: Discovery: Temporada 3: Há uma maré...","16/01/2021"
"Star Trek: Discovery: Temporada 3: Su'kal","11/01/2021"
"Cobra Kai - The Afterparty","09/01/2021"
"Cobra Kai: Temporada 3: 19 de dezembro","09/01/2021"
"Cobra Kai: Temporada 3: Natal","07/01/2021"
"Cobra Kai: Temporada 3: O bom, o ruim e o fera","06/01/2021"
"Cobra Kai: Temporada 3: Obstáculos","06/01/2021"
"Cobra Kai: Temporada 3: Rei Cobra","06/01/2021"
"Cobra Kai: Temporada 3: Miyagi-Do","05/01/2021"
"Cobra Kai: Temporada 3: O caminho certo","04/01/2021"
"Cobra Kai: Temporada 3: Vai ter que pagar","04/01/2021"
"Cobra Kai: Temporada 3: Treinamento ou dom inato?","03/01/2021"
"Cobra Kai: Temporada 3: Consequências","03/01/2021"
"Star Trek: Discovery: Temporada 3: Terra Firme Parte 2","03/01/2021"
"Jornada nas Estrelas: A nova geração: Temporada 5: Unificação, Parte I","27/12/2020"
"Star Trek: Discovery: Temporada 3: Terra Firme Parte 1","27/12/2020"
"Star Trek: Discovery: Temporada 3: O Santuário","12/12/2020"
"De Volta para o Futuro","11/12/2020"
"Cobra Kai: Temporada 2: Sem compaixão","07/12/2020"
"Jornada nas Estrelas: A nova geração: Temporada 5: Uma Questão de Tempo","07/12/2020"
"Star Trek: Discovery: Temporada 3: Unificação III","06/12/2020"
"Cobra Kai: Temporada 2: Polvo","05/12/2020"
"Jornada nas Estrelas: A nova geração: Temporada 5: Unificação, Parte II","05/12/2020"
"Cobra Kai: Temporada 2: A vez do amor","04/12/2020"
"Cobra Kai: Temporada 2: Trégua","04/12/2020"
"Cobra Kai: Temporada 2: Vire à direita","04/12/2020"
"Cobra Kai: Temporada 2: Vai com tudo","04/12/2020"
"Cobra Kai: Temporada 2: Momento da verdade","04/12/2020"
"Cobra Kai: Temporada 2: Fogo e gelo","03/12/2020"
"Cobra Kai: Temporada 2: Em busca do equilíbrio","29/11/2020"
"Cobra Kai: Temporada 2: Compaixão – Parte 2","28/11/2020"
"Star Trek: Enterprise: Temporada 1: Sombras de P'Jem","28/11/2020"
"Star Trek: Discovery: Temporada 3: Piratas","28/11/2020"
"Cobra Kai: Temporada 1: Compaixão – Parte 1","27/11/2020"
"Cobra Kai: Temporada 1: Diferentes, mas iguais","26/11/2020"
"Cobra Kai: Temporada 1: Transformação","26/11/2020"
"Cobra Kai: Temporada 1: A competição","25/11/2020"
"Cobra Kai: Temporada 1: Alunos novos","25/11/2020"
"Cobra Kai: Temporada 1: Contrapeso","25/11/2020"
"Cobra Kai: Temporada 1: Cobra Kai para sempre","24/11/2020"
"Cobra Kai: Temporada 1: Esqueleto","24/11/2020"
"Cobra Kai: Temporada 1: Acerte primeiro","24/11/2020"
"Cobra Kai: Temporada 1: Degenerado","23/11/2020"
"Challenger: Voo Final: Minissérie: Socorro!","22/11/2020"
"Star Trek: Discovery: Temporada 3: Morrer Tentando","21/11/2020"
"Jornada nas Estrelas: Deep Space Nine: Temporada 3: Equilíbrio","14/11/2020"
"Star Trek: Discovery: Temporada 3: Não Me Esqueça","14/11/2020"
"Jornada nas Estrelas: Deep Space Nine: Temporada 1: Dax","02/11/2020"
"Jornada nas Estrelas: Deep Space Nine: Temporada 1: O Emissário","31/10/2020"
"Star Trek: Discovery: Temporada 3: Povo da Terra","31/10/2020"
"Star Trek: Discovery: Temporada 3: Longe de casa","25/10/2020"
"Star Trek: Enterprise: Temporada 4: Tempestade temporal - parte 1","22/10/2020"
"Star Trek: Enterprise: Temporada 3: Hora zero","22/10/2020"
"Star Trek: Discovery: Temporada 3: Minha Esperança é Você, Parte 1","19/10/2020"
"Aggretsuko: Temporada 3: Hora de decidir","07/09/2020"
"Aggretsuko: Temporada 3: Fim do sonho?","06/09/2020"
"Aggretsuko: Temporada 3: Uma barreira impenetrável","05/09/2020"
"Aggretsuko: Temporada 3: Encruzilhada","05/09/2020"
"Aggretsuko: Temporada 3: Um ouriço-do-mar no deserto","05/09/2020"
"Aggretsuko: Temporada 3: Mudanças","04/09/2020"
"Aggretsuko: Temporada 3: Gentileza","04/09/2020"
"Jornada nas Estrelas: Deep Space Nine: Temporada 6: Muito além das estrelas","27/08/2020"
"Jornada nas Estrelas: Deep Space Nine: Temporada 6: Quem chora por Morn?","27/08/2020"
"Star Trek: Enterprise: Temporada 1: Onda de choque - parte 1","17/08/2020"
"Star Trek: Enterprise: Temporada 1: Dois dias e duas noites","17/08/2020"
"Jornada nas Estrelas: A nova geração: Temporada 4: Qupido","15/08/2020"
"Jornada nas Estrelas: A nova geração: Temporada 3: Homem de Lata","15/08/2020"
"Jornada nas Estrelas: A nova geração: Temporada 3: As Férias do Capitão","15/08/2020"
"Jornada nas Estrelas: A nova geração: Temporada 1: O Último Guardião","15/08/2020"
"Star Trek – A Série Animada: Temporada 1: Spock ao infinito","14/08/2020"
"Star Trek – A Série Animada: Temporada 1: O sobrevivente","14/08/2020"
"Midnight Diner: Tokyo Stories: Temporada 1: Batata-doce refogada","14/08/2020"
"Midnight Diner: Tokyo Stories: Temporada 1: Fondue chinês","10/08/2020"
"Midnight Diner: Tokyo Stories: Temporada 1: Omuraisu","10/08/2020"
"Midnight Diner: Tokyo Stories: Temporada 1: Tonteki","10/08/2020"
"Jornada nas Estrelas: A nova geração: Temporada 7: Subalternos","06/08/2020"
"Midnight Diner: Tokyo Stories: Temporada 1: Umeboshi e vinho de ameixa","05/08/2020"
"Midnight Diner: Tokyo Stories: Temporada 1: Tamago","27/07/2020"
"Midnight Diner: Tokyo Stories: Temporada 2: Asinhas de frango fritas","27/07/2020"
